Product_id,Brand Name,Product Name,Image URL,Selling Price,MRP Price,Discount Percentage,Rating,Comment / Review Count,Listing Type,Source Page
25815664,Puma,Leather Plain Bi-Fold Wallet,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25815664/2023/11/9/667710c1-0fb1-4ea6-ba0f-7a8f273cdd5e1699534379815PUMALeatherPlainWallet1.jpg",1379,2299,40%,4.5,2.2k,Oragnic,Brand
32436684,Puma,Women Skinny-Fit Cotton Tights,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/23/0qeI280D_ed3fca26e6424f6aa5f8af3a3983e45b.jpg",629,1799,65%,3.9,632,Oragnic,Brand
39289485,PUMA Motorsport,BMW MMS Drift Cat Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/10/LYvcmMwL_969818d68ac24c6b83e35f06424f7d68.jpg",3119,7999,61%,4,22,AD,Brand
36461836,Puma,Badminton Smash Sprint Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/26/98zY8Gnf_1b6bf6acc3da42e38d9fa43fb1a32dcd.jpg",1899,4999,62%,4.3,12.9k,Oragnic,Brand
13341878,Puma,Running Unisex Cap,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13341878/2024/12/9/91563c95-904c-47b2-a47c-876ad16572ac1733728032463-Puma-Unisex-Black-Solid-Baseball-Cap-8691733728032051-1.jpg",319,799,60%,4.3,46.1k,Oragnic,Brand
29534000,Puma,Softride Super Men Slides,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/26/5A4qvHgf_1b6e66c3b0974d3d8b154242a601a271.jpg",1749,3499,50%,4.5,4.5k,AD,Brand
31602842,Puma,Softride Mayve Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/12/U8fkYw0s_4c080f71cdb24bd1ad6cf77e1eb5c8e7.jpg",1924,5499,65%,4.4,243,Oragnic,Brand
34357445,Puma,Men Drycell Slim Fit Jogger,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/18/Y5fHDCwi_023fbb05f82d411aa563fcc3532a80a2.jpg",1099,1999,45%,3.8,110,Oragnic,Brand
31084424,Puma,Darter Pro Fade Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/4/4G0kXVCa_830549e1a001463d9d9af11b9f1d7465.jpg",5199,7999,35%,4.3,304,AD,Brand
38047965,Puma,Phase Reliable Backpack,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/18/gZUuSukx_e554fcf3420143588ee77f8d7ab0d6f4.jpg",599,1499,60%,4.5,352,Oragnic,Brand
34955475,Nike,3 Next Nature Workout Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/16/DN0gbXke_65aaed74e93543cda25016a08ba141f2.jpg",3497,4995,30%,4.1,4.2k,AD,Brand
34807146,Nike,3 Next Nature Workout Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/9/MYOt8vIL_0406e7b5ad3844528ef6864a954ada1c.jpg",3497,4995,30%,4.4,241,AD,Brand
34807140,Nike,Women Lace-Up Workout Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/9/7GJO8mm2_da8e01546f8e4d778ae743fbbdfc29e7.jpg",3497,4995,30%,4.2,236,Oragnic,Brand
35548277,Nike,Unisex Heritage 2.0 Tote Bag,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/11/gaFz5v2O_2be46ce478374df3bf78a07e61196621.jpg",1607,2295,30%,5,5,Oragnic,Brand
38160198,Nike,Road-Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/22/os45mVno_994d7011ff2f4148a3fa8ff46aa98b40.jpg",3995,3995,0,4.4,35,AD,Brand
38362903,Nike,Women's Road Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/2/1XmpNPEp_b8bec4c29ecc47b78aacfa231a0b9e17.jpg",3995,3995,0,4.3,11,Oragnic,Brand
35026476,Nike,Brasilia Training Duffel Bag,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/17/C9H6FMqf_5165a4caba41444ea762026ae4563359.jpg",1996,2495,20%,4.6,235,Oragnic,Brand
33477860,Nike,Run Defy Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/4/35tsxYXy_39ef113ec33f4c39a2d89953bc5be3f8.jpg",3995,3995,0,4.4,1.4k,AD,Brand
38442267,Nike,Run Defy Women's Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/5/awBOPqn4_f5866ae4deee41e5a522d4bbc28224d3.jpg",3995,3995,0,0,0,Oragnic,Brand
36618653,Nike,Sportswear Futura 365 Backpack,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/27/6CeZCTbh_48ca83676fd6420db8cbdb70a4bb9c97.jpg",1996,2495,20%,4.8,5,Oragnic,Brand
33477858,Nike,Run Defy Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/5/SunGIBXX_afb8a2eb146844bc8186cb021a2197c3.jpg",3995,3995,0,4.4,1.4k,AD,Brand
28304778,Nike,Academy Football Shoe Bag,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28304778/2024/3/26/1a2e9ad8-ef6a-4c2c-bd88-735c76611ce31711453820931NikeAcademyFootballShoeBag1.jpg",995,995,0,4.8,337,Oragnic,Brand
38756810,Nike,Run Defy Men's Road-Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/18/1swYTrI0_3112ffc42e84485ba88939d2cc231925.jpg",3995,3995,0,4,6,Oragnic,Brand
31795783,Nike,Jordan Rise Structured Hat,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/29/5hv7pNAm_d8c8de3436fa4e208ee816dd4a992b45.jpg",1195,1195,0,4.4,28,AD,Brand
36619104,Nike,Run Defy Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/27/WMtW7xku_65137d561ce340ada84c48b648146cf0.jpg",3995,3995,0,0,0,Oragnic,Brand
38362890,Nike,Women's Road Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/2/TP6FSDRv_d6541b2a5a514c05b910828273a67304.jpg",3995,3995,0,4,6,Oragnic,Brand
34955453,Nike,Run Defy Road-Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/16/4O8FgFbo_fff677420ffa45139e623a35f8dc87b5.jpg",3596,3995,10%,4.4,1.4k,AD,Brand
33144110,Nike,Heritage 2.0 Tote Bag (22L),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/13/q7JoJxcJ_5b832574fa4c4470824743affb6fc3dc.jpg",1995,1995,0,4.3,24,Oragnic,Brand
38214603,Nike,Club Kids' Unstructured Cap,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/24/7xQgmnuC_e7263bace07048e9b098385266701f63.jpg",795,795,0,0,0,Oragnic,Brand
38941768,Nike,Swoosh Medium-Support Bra,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/26/7MDf7IYX_4d1aa2afb7884a43abea2f3d03bae896.jpg",2345,2495,6%,5,6,AD,Brand
38756819,Nike,Run Defy Men's Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/18/pYTg3HJF_f86962bfdea14574a0e7ce2bb2f04b96.jpg",3995,3995,0,4.2,9,Oragnic,Brand
36619556,Nike,Brasilia 9.5 Duffel Bag,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/26/ZODPwFwO_36887afda9054aadb51b369a7b5a2fd1.jpg",1836,2295,20%,5,21,Oragnic,Brand
38904583,Nike,Jordan Sport Men's Shorts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/24/kdkfEEH2_f5250f5b5621457eab0770d1b28fa108.jpg",2345,2495,6%,4.4,8,AD,Brand
35012842,Nike,Brand Logo Sports Backpack,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/18/geNuZh55_4e9a53febc8147b387ac60898ccb7760.jpg",1397,1995,30%,4.4,1.3k,Oragnic,Brand
30753887,Nike,Academy Football Gymsack (18L),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/30/O0Td3iGk_923c0419195e419ba1e6fc92ae0485a8.jpg",895,895,0,4.6,225,Oragnic,Brand
24218930,Nike,Men Dri-FIT Sports Tights,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24218930/2023/7/27/46d3fafb-46f9-4edc-8a5e-b3d0b440a91d1690435248518NikeDri-FITUniversaWomensMedium-SupportMid-Rise20cmapproxSho1.jpg",1499,1595,6%,4.7,696,AD,Brand
38362902,Nike,Women's Road Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/2/I1NVAKgs_72925d71181b48e28edfd1681390d23d.jpg",3995,3995,0,4.6,5,Oragnic,Brand
25205556,Nike,Revolution 7 Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/4/jb9pxasm_a0e2b3b1ed3447e6a924eadf6da26191.jpg",3695,3695,0,4.5,1.6k,Oragnic,Brand
24265840,Nike,Men Dri-FIT Fitness Tights,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24265840/2023/7/31/0ad8bc18-e28d-439f-9ee2-4284ce56b12a1690779441960ASMNPDFTIGHT1.jpg",1875,1995,6%,4.7,655,AD,Brand
34022440,Nike,Older Kids' Sports Bra,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/9/Wbp6z3WE_d709322efb9b4a4794a087161277f1ab.jpg",777,1295,40%,4.1,37,Oragnic,Brand
34230731,ADIDAS,Round Neck Sweatshirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/34230731/2025/8/5/a2964c93-712c-4c74-b651-4d157401ba0a1754373310481-ADIDAS-Brand-Logo-Detail-Round-Neck-Sweatshirt-6381754373310-1.jpg",999,2299,57%,4.2,292,AD,Brand
30936968,ADIDAS,3 Striped Woven Track Suit,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30936968/2024/11/6/9dce56b9-d7b2-4c1b-8cc0-44651a1e6eda1730889871401-ADIDAS-Men-Tracksuits-9141730889870896-1.jpg",2959,3999,26%,3.7,392,AD,Brand
